Skill ID,Name (VN),Name (EN),Hero Class (VN),Hero Class (EN),Is Offensive,Target Type,Damage Multiplier,Accuracy Modifier,Cooldown,Primary Effect ID,Effect Magnitude,Effect Duration,Effect Notes,Stress Damage,Rarity,Description (VN),Description (EN)
sk_c10,Thánh Địa,Sanctuary,Tăng Lữ,Cleric,No,All Allies,0,0,4,eff_zone_buff,,,All allies cannot die for 1 turn (survive at 1 HP),0,Rare,"Triệu hồi vùng thánh địa 1 lượt: mọi đồng đội không thể chết, mọi đòn致命 chỉ hạ xuống 1 HP.",
sk_a8,Đầu Độc Hàng Loạt,Mass Poison,Sát Thủ,Assassin,Yes,All Enemies,0.4,0,2,eff_poison,3,3 turns,"per turn, target=all_enemies",0,Rare,Rải độc lên toàn bộ địch với 40% dmg trực tiếp + poison 3/lượt x3 lượt cho mỗi kẻ.,
sk_a9,Dấu Tử Thần,Death Mark,Sát Thủ,Assassin,No,Any Enemy,0,0,1,eff_execute_threshold,,,Execute threshold raised to 35% HP,10,Uncommon,Đánh dấu địch: ngưỡng Execute của kỹ năng Tử Hình tăng từ 20% lên 35% HP với mục tiêu này.,
sk_a10,Phục Kích,Ambush,Sát Thủ,Assassin,Yes,Any Enemy,1.4,20,0,eff_first_strike,,,Guaranteed to act before all enemies this turn,0,Rare,Đảm bảo Sát Thủ hành động trước TẤT CẢ địch trong lượt này. Dmg +40% nếu đánh vào địch chưa hành động.,
sk_ar8,Khóa Chân,Pin Down,Cung Thủ,Archer,Yes,Any Enemy,0.8,5,1,eff_immobilize,,,compound: also eff_bleed; 2 turns immobilize + bleed 2/turn x3,0,Uncommon,Ghim địch xuống đất: immobilize 2 lượt VÀ gây bleed 2/lượt x3 lượt. Combo tốt với Bounty Hunter.,
sk_ar9,Tên Nguyền,Cursed Arrow,Cung Thủ,Archer,Yes,Any Enemy,0.7,0,2,eff_curse_perm,,,"Permanent -10 accuracy, irremovable",8,Rare,Mũi tên mang lời nguyền: áp dụng debuff VĨNH VIỄN -10 accuracy lên mục tiêu. Không thể giải trừ.,
sk_ar10,Mục Tiêu Ưu Tiên,Priority Target,Cung Thủ,Archer,Yes,Lowest HP Enemy,1.6,10,2,eff_execute_threshold,,,x2 dmg if target HP < 30%,0,Rare,Tự động nhắm vào địch có HP thấp nhất. Nếu mục tiêu dưới 30% HP thì gây 2x dmg thay vì 1.6x.,
sk_b8,Điên Cuồng,Frenzy,Cuồng Chiến,Berserker,Yes,2 Random Enemies,0.7,-10,1,eff_random_aoe,,,Hit 2 random targets including allies (5% chance),15,Rare,Tấn công 2 mục tiêu ngẫu nhiên trong địch. Có 5% tấn công nhầm đồng đội khi đang Affliction.,
sk_b9,Uống Máu,Blood Feast,Cuồng Chiến,Berserker,Yes,Front Enemy,1.2,-5,2,eff_kill_heal,,,Kill = restore to full HP,0,Rare,"Nếu đòn này hạ gục địch, Cuồng Chiến hồi về đầy HP ngay lập tức. Không hồi nếu không kill.",
sk_b10,Gào Thét Huyết,Blood Howl,Cuồng Chiến,Berserker,No,Self,0,0,2,eff_timed_buff,,,"All stats +25% for 2 turns, then -10% for 2 turns",20,Rare,"Buff cực mạnh 2 lượt (+25% tất cả), sau đó tự động chịu debuff 2 lượt (-10%). Tốn 20 stress.",
sk_p8,Tẩy Trần,Purify,Thánh Kỵ Sĩ,Paladin,No,Single Ally,0,0,3,eff_remove_permanent,,,Remove 1 irremovable debuff,0,Rare,Kỹ năng DUY NHẤT trong game có thể xóa bỏ 1 debuff vĩnh viễn. Cooldown rất cao.,
sk_p9,Đòn Chí Thiện,Smite Evil,Thánh Kỵ Sĩ,Paladin,Yes,Any Enemy,1.2,10,1,eff_curse_bonus,,,x2 dmg if target has curse/permanent debuff,10,Rare,Gây 1.2x dmg thông thường. Nếu mục tiêu đang bị nguyền rủa hoặc debuff vĩnh viễn thì x2 toàn bộ.,
sk_p10,Lá Chắn Thần,Aegis,Thánh Kỵ Sĩ,Paladin,No,Single Ally,0,0,4,eff_invincible,,,Target immune to all dmg for 2 turns,0,Rare,Đặt lá chắn thần cho 1 đồng đội: hoàn toàn miễn nhiễm sát thương trong 2 lượt. Không thể cản stress.,
sk_py8,Cháy Ngược,Backdraft,Pháp Sư Hỏa,Pyromancer,No,Self,0,0,2,eff_burn_reflect,,,"When hit, apply 2 burn stacks to attacker",0,Uncommon,"Khi bị tấn công vật lý, tự động áp 2 chồng burn lên kẻ tấn công trong 2 lượt.",
sk_py9,Nham Thạch,Lava Pool,Pháp Sư Hỏa,Pyromancer,No,Ground,0,0,3,eff_zone_dot,,,All enemies take 5 burn dmg/turn for 3 turns,8,Rare,Tạo vùng nham thạch: mọi địch nhận 5 burn damage/lượt trong 3 lượt. Không thể thoát khỏi vùng.,
sk_py10,Rồng Lửa,Fire Drake,Pháp Sư Hỏa,Pyromancer,No,Self,0,0,4,eff_summon,,,"Fire Drake: 8 dmg + 2 burn stacks to random enemy/turn, 3 turns",10,Rare,Triệu hồi Rồng Lửa: tấn công địch ngẫu nhiên 8 dmg + 2 burn stacks/lượt trong 3 lượt.,
sk_sh8,Nghi Lễ Trói Buộc,Binding Ritual,Thầy Cúng,Shaman,No,Any Enemy,0,0,3,eff_perm_debuff_generic,,,Apply irremovable -15% dmg to target,10,Rare,Thực hiện nghi lễ trói buộc: áp debuff VĨNH VIỄN -15% sát thương lên địch. Không thể bị giải trừ.,
sk_sh9,Linh Hồn Tổ Tiên,Ancestor Wrath,Thầy Cúng,Shaman,Yes,All Enemies,1,0,4,eff_spirit_aoe,,,"AoE + 20 stress all enemies, ignore stress resist",12,Rare,Triệu linh hồn tổ tiên giáng xuống: AoE sát thương + 20 stress bỏ qua kháng stress của địch.,
sk_sh10,Bão Sét,Thunder Storm,Thầy Cúng,Shaman,Yes,All Enemies,0.9,0,3,eff_stun,0.3,,aoe; stat=stun chance each enemy + 5 stress,8,Rare,Bão sét giáng xuống toàn sân: 30% stun từng địch + 5 stress/kẻ. Kết hợp tốt với Nghi Lễ Trói Buộc.,
sk_wl8,Cướp Phép,Buff Steal,Thuật Sĩ Ký Ước,Warlock,No,Any Enemy,0,0,2,eff_steal_buff,,,"Remove 1 buff from enemy, apply to self",5,Rare,Cướp 1 buff đang hoạt động của địch và áp dụng lên chính mình. Không hoạt động với permanent buff.,
sk_wl9,Ký Ước Vĩnh Cửu,Eternal Pact,Thuật Sĩ Ký Ước,Warlock,No,Self,0,0,5,eff_perm_buff_generic,,,"Permanent +15% dmg, irremovable",25,Rare,Ký ước với bóng tối: nhận buff VĨNH VIỄN +15% dmg. Không thể bị dispel. Tốn 25 stress.,
sk_wl10,Nguyền Rủa Tối Thượng,Supreme Curse,Thuật Sĩ Ký Ước,Warlock,No,Any Enemy,0,0,4,eff_perm_debuff_generic,,,Irremovable: -20% all stats + 3 stress/turn,15,Rare,Nguyền rủa vĩnh viễn: mục tiêu chịu -20% tất cả chỉ số VÀ +3 stress/lượt. Không thể giải trừ bằng bất kỳ cách nào.,
sk_bd8,Bài Ca Nguyền,Cursed Lullaby,Du Ca,Bard,No,Any Enemy,0,0,3,eff_timed_debuff_then_cc,,,"Enemy dmg -30% for 4 turns, then confused 1 turn",12,Rare,"Bài hát ma quái: địch bị giảm 30% dmg trong 4 lượt, sau đó tự động mất 1 lượt vì hoảng loạn.",
sk_bd9,Giai Điệu Hồi Sinh,Revival Hymn,Du Ca,Bard,No,Dead Ally,0,0,5,eff_revive,,,Revive at 70% HP + stress reset to 0,0,Rare,Hồi sinh đồng đội với 70% HP và reset stress về 0. Mạnh hơn kỹ năng Resurrect của Tăng Lữ nhưng cooldown cao hơn.,
sk_bd10,Vũ Điệu Chiến,War Dance,Du Ca,Bard,No,All Allies,0,0,4,eff_party_extra_action,,,All allies gain 1 extra action this turn,15,Rare,Vũ điệu cuồng nhiệt: toàn đội được hành động THÊM 1 lần ngay trong lượt này. Du Ca nhận 15 stress.,
sk_n8,Cánh Cổng Tử Thần,Death Gate,Tử Linh Sư,Necromancer,No,Self,0,0,3,eff_summon,,,Summon 2 skeletons at 40% stats each,10,Rare,"Mở cổng tử thần: triệu hồi cùng lúc 2 Bộ Xương (slot 5 và 6) với 40% chỉ số gốc, tồn tại 2 lượt.",
sk_n9,Hấp Thụ Sinh Khí,Life Siphon,Tử Linh Sư,Necromancer,No,All Allies,0,0,3,eff_drain_party_stress,,,Convert 10 stress from each ally to 8 HP for self,0,Rare,Hút 10 stress từ mỗi đồng đội (họ giảm stress) và chuyển thành 8 HP hồi cho chính mình.,
sk_n10,Bóng Ma Hận Thù,Wraith Form,Tử Linh Sư,Necromancer,No,Self,0,0,4,eff_transform,,,"Intangible 2 turns: immune to physical, +30% spell dmg",15,Rare,"Hóa thành bóng ma 2 lượt: miễn nhiễm mọi tấn công vật lý, tăng 30% sát thương phép thuật.",
sk_mk8,Tâm Bão,Eye of Storm,Võ Thánh,Monk,No,Self,0,0,3,eff_dodge,,,Dodge all attacks for 1 turn + counter each miss,0,Rare,"Né tránh tuyệt đối 1 lượt. Mỗi đòn địch trượt, Võ Thánh phản đòn tức thì với 50% dmg cơ bản.",
sk_mk9,Quyền Sấm,Thunder Punch,Võ Thánh,Monk,Yes,Front Enemy,1.2,5,2,eff_stun,,,compound: also eff_knockback; Stun 1 turn + push to back row,8,Uncommon,Đòn quyền sét đánh: stun 1 lượt VÀ đẩy địch ra hàng sau. Hai hiệu ứng áp dụng cùng lúc.,
sk_mk10,Tâm Linh Thức,Awakened Mind,Võ Thánh,Monk,No,Self,0,0,3,eff_stress_immune,,,Immune to all stress for 3 turns,0,Rare,Đạt trạng thái tỉnh thức: hoàn toàn miễn nhiễm mọi nguồn stress trong 3 lượt. Không thể vào Affliction trong thời gian này.,
sk_dr8,Hồi Sinh Thiên Nhiên,Nature's Embrace,Pháp Sư Tự Nhiên,Druid,No,All Allies,0,0,3,eff_regen,,,4 HP/turn x4 turns all allies,0,Rare,Năng lượng tự nhiên bao phủ đội: toàn bộ đồng đội hồi 4 HP/lượt trong 4 lượt liên tiếp.,
sk_dr9,Bão Thiên Lôi,Storm Surge,Pháp Sư Tự Nhiên,Druid,Yes,All Enemies,1.1,5,3,eff_form_condition,,,Hawk form only: AoE + 40% stun chance each,10,Rare,CHỈ dùng được ở Dạng Chim: AoE sét đánh toàn địch 1.1x dmg + 40% stun mỗi kẻ.,
sk_dr10,Đất Vững Chắc,Earth Grasp,Pháp Sư Tự Nhiên,Druid,Yes,All Enemies,0.6,0,3,eff_form_condition,,,Bear form only: immobilize all enemies 2 turns,0,Rare,CHỈ dùng được ở Dạng Gấu: trói chân TOÀN BỘ địch trong 2 lượt với 60% dmg mỗi kẻ.,
